Sex,Cases,Date,Perecent_Cases,Deaths,Percent_Deaths,Ca_Population
Male,186838,7/17/2020,49.8,4279,56.8,49.7
Unknown,1974,7/17/2020,0.5,9,0.1,0
Female,191173,7/18/2020,49.7,3279,43,50.3
Male,191472,7/18/2020,49.8,4331,56.8,49.7
Unknown,2047,7/18/2020,0.5,10,0.1,0
Female,194690,7/19/2020,49.7,3290,43,50.3
Male,194780,7/19/2020,49.7,4351,56.9,49.7
Unknown,2068,7/19/2020,0.5,10,0.1,0
Female,199561,7/20/2020,49.8,3303,43,50.3
Male,199097,7/20/2020,49.7,4364,56.8,49.7
Unknown,2111,7/20/2020,0.5,10,0.1,0
Female,206176,7/21/2020,49.9,3346,42.9,50.3
Male,205180,7/21/2020,49.6,4436,56.9,49.7
Unknown,2220,7/21/2020,0.5,11,0.1,0
Female,212405,7/22/2020,49.9,3409,42.9,50.3
Male,210959,7/22/2020,49.6,4530,57,49.7
Unknown,2252,7/22/2020,0.5,10,0.1,0
Female,217370,7/23/2020,49.9,3466,42.8,50.3
Male,215652,7/23/2020,49.5,4620,57.1,49.7
Unknown,2312,7/23/2020,0.5,10,0.1,0
Female,222622,7/24/2020,50,3523,42.7,50.3
Male,220392,7/24/2020,49.5,4708,57.1,49.7
Unknown,2386,7/24/2020,0.5,11,0.1,0
Female,226906,7/25/2020,50,3577,42.7,50.3
Male,224248,7/25/2020,49.4,4794,57.2,49.7
Unknown,2505,7/25/2020,0.6,11,0.1,0
Female,230423,7/26/2020,50,3591,42.7,50.3
Male,227545,7/26/2020,49.4,4810,57.2,49.7
Unknown,2582,7/26/2020,0.6,11,0.1,0
Female,233477,7/27/2020,50,3607,42.8,50.3
Male,230415,7/27/2020,49.4,4818,57.1,49.7
Unknown,2658,7/27/2020,0.6,11,0.1,0
Female,238049,7/28/2020,50.1,3630,42.6,50.3
Male,234575,7/28/2020,49.4,4875,57.2,49.7
Unknown,2681,7/28/2020,0.6,11,0.1,0
Female,242598,7/29/2020,50,3740,42.7,50.3
Male,238861,7/29/2020,49.2,5000,57.1,49.7
Unknown,4043,7/29/2020,0.8,11,0.1,0
Female,246279,7/30/2020,49.9,3831,42.9,50.3
Male,242315,7/30/2020,49.1,5095,57,49.7
Unknown,4994,7/30/2020,1,13,0.1,0
Female,249479,7/31/2020,49.9,3904,42.9,50.3
Male,245247,7/31/2020,49,5178,56.9,49.7
Unknown,5404,7/31/2020,1.1,13,0.1,0
Female,254017,8/1/2020,49.9,3962,42.8,50.3
Male,249405,8/1/2020,49,5277,57,49.7
Unknown,5740,8/1/2020,1.1,13,0.1,0
Female,256875,8/2/2020,49.9,3991,42.8,50.3
Male,252050,8/2/2020,49,5322,57.1,49.7
Unknown,5976,8/2/2020,1.2,13,0.1,0
Female,259130,8/3/2020,49.9,4000,42.8,50.3
Male,254274,8/3/2020,49,5336,57.1,49.7
Unknown,6023,8/3/2020,1.2,13,0.1,0
Female,261806,8/4/2020,49.9,4074,42.8,50.3
Male,256828,8/4/2020,48.9,5432,57.1,49.7
Unknown,6088,8/4/2020,1.2,14,0.1,0
Female,269155,8/6/2020,50,4188,42.7,50.3
Male,263409,8/6/2020,48.9,5605,57.2,49.7
Unknown,5852,8/6/2020,1.1,14,0.1,0
Female,273123,8/7/2020,50,4252,42.6,50.3
Male,266780,8/7/2020,48.9,5718,57.3,49.7
Unknown,5884,8/7/2020,1.1,12,0.1,0
Female,277523,8/8/2020,50.1,4328,42.5,50.3
Male,270528,8/8/2020,48.8,5831,57.3,49.7
Unknown,6109,8/8/2020,1.1,14,0.1,0
Female,281543,8/9/2020,50.1,4363,42.6,50.3
Male,274192,8/9/2020,48.8,5870,57.3,49.7
Unknown,6176,8/9/2020,1.1,14,0.1,0
Female,287810,8/10/2020,50.1,4376,42.6,50.3
Male,279981,8/10/2020,48.7,5881,57.3,49.7
Unknown,6620,8/10/2020,1.2,15,0.1,0
Female,293952,8/11/2020,50.2,4462,42.5,50.3
Male,285476,8/11/2020,48.7,6012,57.3,49.7
Unknown,6628,8/11/2020,1.1,17,0.2,0
Female,297645,8/12/2020,50.2,4537,42.5,50.3
Male,288921,8/12/2020,48.7,6112,57.3,49.7
Unknown,6575,8/12/2020,1.1,17,0.2,0
Female,301863,8/13/2020,50.2,4602,42.5,50.3
Male,292627,8/13/2020,48.7,6211,57.3,49.7
Unknown,6585,8/13/2020,1.1,18,0.2,0
Female,308346,8/14/2020,50.2,4673,42.5,50.3
Male,298738,8/14/2020,48.7,6304,57.3,49.7
Unknown,6605,8/14/2020,1.1,17,0.2,0
Female,312301,8/15/2020,50.2,4714,42.5,50.3
Male,302532,8/15/2020,48.7,6371,57.4,49.7
Unknown,6729,8/15/2020,1.1,19,0.2,0
Female,315642,8/16/2020,50.3,4718,42.5,50.3
Male,305562,8/16/2020,48.7,6377,57.4,49.7
Unknown,6827,8/16/2020,1.1,19,0.2,0
Female,317984,8/17/2020,50.3,4728,42.4,50.3
Male,307821,8/17/2020,48.7,6402,57.4,49.7
Unknown,6862,8/17/2020,1.1,15,0.1,0
Female,321189,8/18/2020,50.3,4784,42.3,50.3
Male,310752,8/18/2020,48.6,6502,57.5,49.7
Unknown,6890,8/18/2020,1.1,15,0.1,0
Female,324262,8/19/2020,50.3,4856,42.4,50.3
Male,313639,8/19/2020,48.6,6594,57.5,49.7
Unknown,6850,8/19/2020,1.1,16,0.1,0
Female,327161,8/20/2020,50.3,4905,42.3,50.3
Male,316372,8/20/2020,48.6,6667,57.5,49.7
Unknown,6803,8/20/2020,1,18,0.2,0
Female,330632,8/21/2020,50.3,4966,42.3,50.3
Male,319444,8/21/2020,48.6,6758,57.6,49.7
Unknown,6816,8/21/2020,1,17,0.1,0
Female,334071,8/22/2020,50.3,5044,42.2,50.3
Male,322768,8/22/2020,48.6,6883,57.6,49.7
Unknown,6830,8/22/2020,1,18,0.2,0
Female,336578,8/23/2020,50.3,5047,42.2,50.3
Male,325212,8/23/2020,48.6,6887,57.6,49.7
Unknown,6825,8/23/2020,1,21,0.2,0
Female,338946,8/24/2020,50.4,5071,42.2,50.3
Male,327315,8/24/2020,48.6,6911,57.6,49.7
Unknown,6834,8/24/2020,1,21,0.2,0
Female,342058,8/25/2020,50.4,5140,42.3,50.3
Male,330194,8/25/2020,48.6,6998,57.6,49.7
Unknown,6847,8/25/2020,1,20,0.2,0
Female,344479,8/26/2020,50.4,5203,42.3,50.3
Male,332354,8/26/2020,48.6,7072,57.5,49.7
Unknown,6696,8/26/2020,1,21,0.2,0
Female,347253,8/27/2020,50.4,5273,42.3,50.3
Male,334946,8/27/2020,48.6,7166,57.5,49.7
Unknown,6659,8/27/2020,1,22,0.2,0
